,accuracy,recall,precision,fl-score,roc_auc
Logistic Regression,0.2847222222222222,0.2847222222222222,0.2847222222222222,0.2847222222222222,0.5231481481481481
Naive Bayes,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.5092592592592592
Support Vector Machine,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.5092592592592593
Random Forest,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.5138888888888888
