,accuracy,recall,precision,fl-score,roc_auc
Logistic Regression,0.3333333333333333,0.33333333333333337,0.35177582274356467,0.3410535718134284,0.5555555555555556
Naive Bayes,0.2222222222222222,0.2222222222222222,0.22088956769992113,0.21100835942025414,0.4814814814814815
Support Vector Machine,0.2986111111111111,0.2986111111111111,0.37015845789430696,0.30686998904552043,0.5324074074074073
Random Forest,0.3263888888888889,0.3263888888888889,0.32121531998379294,0.31954226506656175,0.5509259259259259
